Graph_ID,Graph_Name,Algorithm,Vertices,Edges,MST_Weight,Execution_Time_ms,Comparisons,Unions,Valid_MST
1,Graph 1,Prim,5,10,104,0,42,0,true
1,Graph 1,Kruskal,5,10,104,0,25,0,true
2,Graph 2,Prim,10,15,223,0,70,0,true
2,Graph 2,Kruskal,10,15,223,0,50,0,true
3,Graph 3,Prim,15,16,646,0,92,0,true
3,Graph 3,Kruskal,15,16,646,0,78,0,true
4,Graph 4,Prim,20,24,962,0,136,0,true
4,Graph 4,Kruskal,20,24,962,0,106,0,true
5,Graph 5,Prim,25,32,1193,0,181,0,true
5,Graph 5,Kruskal,25,32,1193,0,137,0,true
6,Graph 6,Prim,30,30,1397,0,175,0,true
6,Graph 6,Kruskal,30,30,1397,0,150,0,true
7,Graph 7,Prim,35,48,1253,0,280,0,true
7,Graph 7,Kruskal,35,48,1253,0,208,0,true
8,Graph 8,Prim,40,63,1194,0,364,0,true
8,Graph 8,Kruskal,40,63,1194,0,260,0,true
9,Graph 9,Prim,45,52,2192,0,309,0,true
9,Graph 9,Kruskal,45,52,2192,0,246,0,true
10,Graph 10,Prim,50,74,1997,0,424,0,true
10,Graph 10,Kruskal,50,74,1997,0,307,0,true
11,Graph 11,Prim,55,72,2255,0,424,0,true
11,Graph 11,Kruskal,55,72,2255,0,323,0,true
12,Graph 12,Prim,60,119,1855,0,648,0,true
12,Graph 12,Kruskal,60,119,1855,0,420,0,true
13,Graph 13,Prim,65,99,2861,0,586,0,true
13,Graph 13,Kruskal,65,99,2861,0,412,0,true
14,Graph 14,Prim,70,85,2755,0,502,0,true
14,Graph 14,Kruskal,70,85,2755,0,392,0,true
15,Graph 15,Prim,75,117,2631,0,653,0,true
15,Graph 15,Kruskal,75,117,2631,0,447,0,true
16,Graph 16,Prim,80,96,3806,0,570,0,true
16,Graph 16,Kruskal,80,96,3806,0,448,0,true
17,Graph 17,Prim,85,162,2279,0,903,0,true
17,Graph 17,Kruskal,85,162,2279,0,593,0,true
18,Graph 18,Prim,90,109,3574,0,651,0,true
18,Graph 18,Kruskal,90,109,3574,0,507,0,true
19,Graph 19,Prim,95,135,3748,0,732,0,true
19,Graph 19,Kruskal,95,135,3748,0,517,0,true
20,Graph 20,Prim,100,143,3919,0,855,0,true
20,Graph 20,Kruskal,100,143,3919,0,629,0,true
21,Graph 21,Prim,105,202,3253,0,1161,0,true
21,Graph 21,Kruskal,105,202,3253,0,771,0,true
22,Graph 22,Prim,110,134,4658,0,794,0,true
22,Graph 22,Kruskal,110,134,4658,0,622,0,true
23,Graph 23,Prim,115,230,3548,0,1233,0,true
23,Graph 23,Kruskal,115,230,3548,0,773,0,true
24,Graph 24,Prim,120,213,3974,0,1258,0,true
24,Graph 24,Kruskal,120,213,3974,0,861,0,true
25,Graph 25,Prim,125,148,5279,0,878,0,true
25,Graph 25,Kruskal,125,148,5279,0,688,0,true
26,Graph 26,Prim,130,209,3956,0,1178,0,true
26,Graph 26,Kruskal,130,209,3956,0,818,0,true
27,Graph 27,Prim,140,278,4285,0,1636,0,true
27,Graph 27,Kruskal,140,278,4285,0,1099,0,true
28,Graph 28,Prim,150,246,4781,0,1425,0,true
28,Graph 28,Kruskal,150,246,4781,0,1008,0,true
