Graph_ID,Vertices,Edges,MST_Weight,Prim_Time_ms,Prim_Comparisons,Kruskal_Time_ms,Kruskal_Comparisons,Kruskal_Unions,Time_Diff_ms,Comparison_Diff,Faster_Algorithm
1,5,10,104,0,42,0,25,0,0,17,Equal
2,10,15,223,0,70,0,50,0,0,20,Equal
3,15,16,646,0,92,0,78,0,0,14,Equal
4,20,24,962,0,136,0,106,0,0,30,Equal
5,25,32,1193,0,181,0,137,0,0,44,Equal
6,30,30,1397,0,175,0,150,0,0,25,Equal
7,35,48,1253,0,280,0,208,0,0,72,Equal
8,40,63,1194,0,364,0,260,0,0,104,Equal
9,45,52,2192,0,309,0,246,0,0,63,Equal
10,50,74,1997,0,424,0,307,0,0,117,Equal
11,55,72,2255,0,424,0,323,0,0,101,Equal
12,60,119,1855,0,648,0,420,0,0,228,Equal
13,65,99,2861,0,586,0,412,0,0,174,Equal
14,70,85,2755,0,502,0,392,0,0,110,Equal
15,75,117,2631,0,653,0,447,0,0,206,Equal
16,80,96,3806,0,570,0,448,0,0,122,Equal
17,85,162,2279,0,903,0,593,0,0,310,Equal
18,90,109,3574,0,651,0,507,0,0,144,Equal
19,95,135,3748,0,732,0,517,0,0,215,Equal
20,100,143,3919,0,855,0,629,0,0,226,Equal
21,105,202,3253,0,1161,0,771,0,0,390,Equal
22,110,134,4658,0,794,0,622,0,0,172,Equal
23,115,230,3548,0,1233,0,773,0,0,460,Equal
24,120,213,3974,0,1258,0,861,0,0,397,Equal
25,125,148,5279,0,878,0,688,0,0,190,Equal
26,130,209,3956,0,1178,0,818,0,0,360,Equal
27,140,278,4285,0,1636,0,1099,0,0,537,Equal
28,150,246,4781,0,1425,0,1008,0,0,417,Equal
